"RANK","INC_YEAR","COMPANY","3-YR GROWTH","REVENUE","INDUSTRY","YEARS","METRO_AREA"
"1","2012","Unified Payments","23,646%","$59.4m","Financial Services","","Miami"
"2","2012","Astrum Solar","23,577%","$26.9m","Energy","","Baltimore"
"3","2012","Edge Solutions","21,036%","$21.7m","IT Services","","Atlanta"
"4","2012","Integrity Funding","12,443%","$14.7m","Financial Services","","Sarasota-Bradenton-Venice, FL"
"5","2012","Gold & Silver Buyers","12,222%","$54.9m","Consumer Products & Services","","Houston"
"6","2012","Bluefin Payment Systems","11,676%","$55.5m","Financial Services","","Atlanta"
"7","2012","AdRoll","11,082%","$12.4m","Advertising & Marketing","","San Francisco"
"8","2012","Acquia","10,461%","$21.7m","Software","","Boston"
"9","2012","Red Frog Events","10,404%","$31.7m","Consumer Products & Services","","Chicago"
"10","2012","Cartagz","10,237%","$14.1m","Consumer Products & Services","","Sacramento--Arden-Arcade--Roseville, CA"
"11","2012","Nasty Gal","10,160%","$22.8m","Retail","","Los Angeles"
"12","2012","Livestream","9,143%","$12.3m","Media","","New York City"
"13","2012","HighTower Advisors","8,853%","$43.9m","Financial Services","","Chicago"
"14","2012","RateSpecial Interactive","8,593%","$15.4m","Advertising & Marketing","","Los Angeles"
"15","2012","Xtreme Power","8,423%","$22.1m","Energy","","Austin"
"16","2012","Applause","8,284%","$8.6m","Business Products & Services","","Boston"
"17","2012","Campus Book Rentals","8,175%","$23m","Education","","Ogden-Clearfield, UT"
"18","2012","Merchant Services LTD","7,852%","$14m","Financial Services","","Miami"
"19","2012","Complete Merchant Solutions","7,531%","$17.9m","Financial Services","","Provo-Orem, UT"
"20","2012","BlueGrace Logistics","7,378%","$63.5m","Logistics & Transportation","","Tampa"
"21","2012","Zantech IT Services","7,331%","$17.8m","Government Services","","Washington, DC"
"22","2012","Jackson Hunter Morris & Knight","7,135%","$8.9m","Financial Services","","Los Angeles"
"23","2012","FederalConference.com","6,978%","$21.6m","Government Services","","Washington, DC"
"24","2012","ING Solutions","6,772%","$26.2m","Consumer Products & Services","","Miami"
"25","2012","Wireless Communications","6,581%","$22.9m","Retail","","Greenville-Mauldin-Easley, SC"
"26","2012","Leadnomics","6,429%","$11.3m","Advertising & Marketing","","Philadelphia"
"27","2012","Spongecell","6,316%","$7.6m","Advertising & Marketing","","New York City"
"28","2012","MHD Enterprises","6,277%","$7m","Business Products & Services","","Austin"
"29","2012","Valuation Management Group","6,267%","$34.3m","Real Estate","","Atlanta"
"30","2012","Vets First Choice","6,133%","$7.5m","Health","","Portland-South Portland, ME"
"31","2012","Lucid Technology","5,906%","$9.7m","Government Services","","Chicago"
"32","2012","Adap.tv","5,872%","$33.4m","Advertising & Marketing","","San Francisco"
"33","2012","Accolade","5,866%","$17.8m","Health","","Philadelphia"
"34","2012","EngagePoint","5,855%","$13.1m","Government Services","","Washington, DC"
"35","2012","OBXtek","5,779%","$6.3m","Government Services","","Washington, DC"
"36","2012","29 Prime","5,708%","$6.4m","Advertising & Marketing","","Los Angeles"
"37","2012","Webimax","5,651%","$7m","Advertising & Marketing","","Philadelphia"
"38","2012","Datto","5,554%","$8.7m","Security","","Bridgeport-Stamford-Norwalk, CT"
"39","2012","Clearview Energy","5,552%","$29.2m","Energy","","Dallas"
"40","2012","Credit Karma","5,279%","$5.7m","Financial Services","","San Francisco"
"41","2012","Strategic Communications","5,186%","$45.4m","IT Services","","Louisville/Jefferson, KY-IN"
"42","2012","Honey-Can-Do International","5,087%","$23.6m","Consumer Products & Services","","Chicago"
"43","2012","OnForce Solar","5,058%","$14.9m","Energy","","New York City"
"44","2012","Inspira Marketing","4,980%","$8m","Advertising & Marketing","","Bridgeport-Stamford-Norwalk, CT"
"45","2012","Solar Alliance of America","4,882%","$9.8m","Energy","","San Diego"
"46","2012","I.T. Source","4,756%","$24.7m","IT Services","","Los Angeles"
"47","2012","Vitals","4,637%","$6.3m","Health","","New York City"
"48","2012","Gemvara","4,613%","$7.4m","Retail","","Boston"
"49","2012","ymarketing","4,604%","$38.4m","Advertising & Marketing","","Los Angeles"
"50","2012","BrokersWeb.com","4,562%","$54.4m","Insurance","","Miami"
"51","2012","Vital Farms","4,522%","$4.8m","Food & Beverage","","Austin"
"52","2012","Elemental Technologies","4,518%","$10.1m","Software","","Portland, OR"
"53","2012","Edge Homes","4,491%","$37.2m","Construction","","Provo-Orem, UT"
"54","2012","Altitude Digital","4,380%","$6m","Advertising & Marketing","","Denver"
"55","2012","MediaForge","4,337%","$5.5m","Advertising & Marketing","","Salt Lake City"
"56","2012","Quantum Networks","4,330%","$6m","Consumer Products & Services","","New York City"
"57","2012","Stella & Dot","4,315%","$175.2m","Consumer Products & Services","","San Francisco"
"58","2012","Innovative Construction & Roofing","4,159%","$15m","Construction","","St. Louis, MO-IL"
"59","2012","AustinCSI","4,112%","$4.9m","IT Services","","Dallas"
"60","2012","Keen Technical Solutions","4,101%","$4.2m","Energy","","Traverse City, MI"
